rest_id,restaurant,link,cusine,rating,price
147,Dum Biryani Adda,https://www.zomato.com/bangalore/dum-biryani-adda-1-jeevan-bhima-nagar-bangalore/order,"Biryani, North Indian",4.0,₹300 for one
148,The Filter Coffee,https://www.zomato.com/bangalore/the-filter-coffee-kalyan-nagar/order,"South Indian, Coffee",4.3,₹300 for one
149,Zaatar,https://www.zomato.com/bangalore/zaatar-old-madras-road-bangalore/order,"BBQ, Arabian, Biryani, Chinese, North Indian, Mughlai, Desserts, Beverages",3.8,₹300 for one
150,The Dessert Zone,https://www.zomato.com/bangalore/the-dessert-zone-kaggadasapura-bangalore/order,"Desserts, Bakery",3.7,₹300 for one
151,Hamza Hotel,https://www.zomato.com/bangalore/hamza-hotel-shivajinagar-bangalore/order,"North Indian, Chinese, Mughlai, Biryani",4.2,₹300 for one
152,AB's - Absolute Barbecues,https://www.zomato.com/bangalore/abs-absolute-barbecues-marathahalli/order,"North Indian, Mangalorean, BBQ, Street Food, Desserts, Salad, Beverages",3.6,₹300 for one
153,Khan Saheb Grills and Rolls,https://www.zomato.com/bangalore/khan-saheb-grills-and-rolls-indiranagar/order,"North Indian, Rolls, Kebab, Mughlai, Biryani, Beverages",4.0,₹300 for one
154,Toscano,https://www.zomato.com/bangalore/toscano-church-street-bangalore/order,"Italian, Pizza, Salad, Continental, Desserts, Beverages, Seafood",4.0,₹500 for one
155,Just Bake,https://www.zomato.com/bangalore/just-bake-frazer-town-bangalore/order,Bakery,3.6,₹500 for one
156,Bucket Biryani,https://www.zomato.com/bangalore/bucket-biryani-brigade-road-bangalore/order,"North Indian, Biryani, Chinese, Mughlai",4.1,₹500 for one
157,Ghee Tadka Khichdi,https://www.zomato.com/bangalore/ghee-tadka-khichdi-jeevan-bhima-nagar-bangalore/order,"North Indian, Street Food",4.4,₹500 for one
158,Apsara Ice Creams,https://www.zomato.com/bangalore/apsara-ice-creams-cv-raman-nagar-bangalore/order,"Ice Cream, Desserts",4.2,₹500 for one
159,New Taj Darbar,https://www.zomato.com/bangalore/new-taj-darbar-shivajinagar-bangalore/order,"North Indian, Chinese, Mughlai, Biryani",3.6,₹500 for one
160,Aubree,https://www.zomato.com/bangalore/aubree-mg-road-bangalore/order,"Bakery, Fast Food, Italian, Thai, Desserts",4.2,₹500 for one
161,Absolute Shawarma,https://www.zomato.com/bangalore/absolute-shawarma-thippasandra-bangalore/order,"Lebanese, Rolls",3.8,₹500 for one
162,Suchithra Biryani House,https://www.zomato.com/bangalore/suchithra-biryani-house-airport-road/order,"Biryani, North Indian, Chinese, Seafood, Mughlai",4.1,₹500 for one
163,1522 - The Pub,https://www.zomato.com/bangalore/1522-the-pub-residency-road-bangalore/order,"Chinese, North Indian, Continental, Finger Food, Seafood, Beverages",4.3,₹500 for one
164,RS Shiv Sagar,https://www.zomato.com/bangalore/rs-shiv-sagar-mg-road/order,"North Indian, South Indian, Asian, Continental, Chinese, Beverages, Desserts",3.8,₹500 for one
165,Chopstick,https://www.zomato.com/bangalore/chopstick-jeevan-bhima-nagar-bangalore/order,"Chinese, Sichuan",3.7,₹500 for one
